Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.180.61-36.154.114.163-6901-443-6,192.168.180.61,6901,36.154.114.163,443,6,20/08/2024 03:45:38 下午,19964720,19,22,19.0,25.0,1.0,1.0,1.0,0.0,24.0,0.0,1.1363636363636362,5.111103268705948,2.2038876578284095,2.0536225902491996,499117.99999999994,492161.7876317418,1015208.0,1.0,1.8881884E7,1048993.5555555555,18171.06202089798,1085082.0,1031872.0,1.996472E7,950700.9523809523,310024.47898246296,1081308.0,1.0,0,0,0,0,380,668,0.951678761334995,1.1019438289142047,0.0,24.0,1.0714285714285716,3.658554006927162,13.385017421602791,0,0,0,0,1,0,0,0,1.0,1.0975609756097562,1.0,1.1363636363636365,0,0,0,0,0,0,19,19,22,25,-1,68,19,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-36.154.114.163-6901-443-6,192.168.180.61,6901,36.154.114.163,443,6,20/08/2024 03:45:58 下午,184,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,130434.78260869565,16304.347826086956,92.0,73.53910524340094,144.0,40.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,0,0,0,0,40,20,10869.565217391304,5434.782608695652,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
152.69.172.80-192.168.180.61-2052-62342-17,192.168.180.61,62342,152.69.172.80,2052,17,20/08/2024 03:45:45 下午,10457460,3,5,89.0,119.0,32.0,25.0,29.666666666666668,4.041451884327381,26.0,21.0,23.8,2.588435821108957,19.890107157952315,0.7650041214597044,1493922.857142857,3753530.841125878,1.0005803E7,26288.0,1.0220201E7,5110100.5,7030711.106542815,1.0081564E7,138637.0,1.045746E7,2614365.0,5002526.125029567,1.0118152E7,107903.0,0,0,0,0,24,40,0.2868765455473892,0.47812757591231525,21.0,32.0,25.88888888888889,3.9510898637098992,15.611111111111109,0,0,0,0,0,0,0,0,1.0,29.125,29.666666666666668,23.8,0,0,0,0,0,0,3,89,5,119,-1,-1,3,0,231405.0,0.0,231405.0,231405.0,1.0005803E7,0.0,1.0005803E7,1.0005803E7,No Label
192.168.180.61-107.172.230.251-62400-2056-17,192.168.180.61,62400,107.172.230.251,2056,17,20/08/2024 03:45:39 下午,11429794,4,3,111.0,89.0,36.0,25.0,27.75,5.5,33.0,25.0,29.666666666666668,4.163331998932266,17.498128137742466,0.6124344848209863,1904965.6666666665,3978861.556327522,1.0013168E7,70.0,1.0849521E7,3616507.0,5913229.587694274,1.0440433E7,70.0,1.1403622E7,5701811.0,6638605.54713247,1.0396014E7,1007608.0,0,0,0,0,32,24,0.3499625627548493,0.262471922066137,25.0,36.0,28.125,4.517821851923146,20.410714285714285,0,0,0,0,0,0,0,0,0.0,32.142857142857146,27.75,29.666666666666668,0,0,0,0,0,0,4,111,3,89,-1,-1,4,0,1007608.0,0.0,1007608.0,1007608.0,1.0013168E7,0.0,1.0013168E7,1.0013168E7,No Label
144.24.140.70-192.168.180.61-2052-62396-17,192.168.180.61,62396,144.24.140.70,2052,17,20/08/2024 03:45:46 下午,10702284,1,3,25.0,101.0,25.0,25.0,25.0,0.0,38.0,25.0,33.666666666666664,7.505553499465135,11.773187854106656,0.37375199536846526,3567428.0,5576543.808417451,1.0006666E7,346655.0,0,0,0,0,0,1.0702284E7,5351142.0,7077413.388119843,1.0355629E7,346655.0,0,0,0,0,8,24,0.09343799884211632,0.2803139965263489,25.0,38.0,30.2,7.120393247567159,50.699999999999996,0,0,0,0,0,0,0,0,3.0,37.75,25.0,33.666666666666664,0,0,0,0,0,0,1,25,3,101,-1,-1,1,0,346655.0,0.0,346655.0,346655.0,1.0006666E7,0.0,1.0006666E7,1.0006666E7,No Label
192.168.180.61-36.154.114.163-6901-443-6,36.154.114.163,443,192.168.180.61,6901,6,20/08/2024 03:45:58 下午,18138,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.3986106516705,9069.0,3231.477990022522,11354.0,6784.0,6784.0,6784.0,0.0,6784.0,6784.0,0,0,0,0,0,0,0,0,0,40,32,110.26574043444701,55.132870217223505,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,68,0,0,0,0,0,0,0,0,0,0,No Label
192.168.180.61-59.110.251.12-6758-443-6,192.168.180.61,6758,59.110.251.12,443,6,20/08/2024 03:45:39 下午,15124631,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13223463104653593,0.26446926209307187,5041543.666666666,8630215.245043796,1.5006854E7,51296.0,0,0,0,0,0,1.5124631E7,7562315.5,1.0622185644148784E7,1.5073335E7,51296.0,0,0,0,0,20,84,0.06611731552326797,0.1983519465698039,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,9660,1,0,51296.0,0.0,51296.0,51296.0,1.5006854E7,0.0,1.5006854E7,1.5006854E7,No Label
192.168.180.61-103.173.154.84-62407-2052-17,192.168.180.61,62407,103.173.154.84,2052,17,20/08/2024 03:45:48 下午,10584213,1,3,25.0,81.0,25.0,25.0,25.0,0.0,28.0,25.0,27.0,1.7320508075688772,10.014915610636331,0.3779213437975974,3528071.0,5610990.164905745,1.0007084E7,286683.0,0,0,0,0,0,1.0584213E7,5292106.5,7073416.113485795,1.0293767E7,290446.0,0,0,0,0,8,24,0.09448033594939935,0.2834410078481981,25.0,28.0,26.2,1.6431676725154984,2.7,0,0,0,0,0,0,0,0,3.0,32.75,25.0,27.0,0,0,0,0,0,0,1,25,3,81,-1,-1,1,0,290446.0,0.0,290446.0,290446.0,1.0007084E7,0.0,1.0007084E7,1.0007084E7,No Label
192.168.180.61-40.74.81.198-6716-443-6,192.168.180.61,6716,40.74.81.198,443,6,20/08/2024 03:45:38 下午,15155266,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.13196733069548236,0.2639346613909647,5051755.333333334,8620507.553123385,1.500586E7,73874.0,0,0,0,0,0,1.5155266E7,7577633.0,1.0611917746579174E7,1.5081392E7,73874.0,0,0,0,0,20,84,0.06598366534774118,0.19795099604322353,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,63,1,0,73874.0,0.0,73874.0,73874.0,1.500586E7,0.0,1.500586E7,1.500586E7,No Label
192.168.180.61-107.172.230.251-62399-2056-17,192.168.180.61,62399,107.172.230.251,2056,17,20/08/2024 03:45:47 下午,10519705,1,3,25.0,77.0,25.0,25.0,25.0,0.0,26.0,25.0,25.666666666666668,0.5773502691896257,9.696089386536979,0.3802387994720384,3506568.333333333,5624754.184016341,1.0001445E7,242029.0,0,0,0,0,0,1.0519705E7,5259852.5,7047905.115034147,1.0243474E7,276231.0,0,0,0,0,8,24,0.0950596998680096,0.2851790996040288,25.0,26.0,25.4,0.547722557505166,0.2999999999999998,0,0,0,0,0,0,0,0,3.0,31.75,25.0,25.666666666666668,0,0,0,0,0,0,1,25,3,77,-1,-1,1,0,276231.0,0.0,276231.0,276231.0,1.0001445E7,0.0,1.0001445E7,1.0001445E7,No Label
192.168.180.61-103.136.150.102-55471-2052-17,192.168.180.61,55471,103.136.150.102,2052,17,20/08/2024 03:45:45 下午,11439736,3,4,75.0,106.0,25.0,25.0,25.0,0.0,28.0,25.0,26.5,1.2909944487358056,15.822043445757838,0.6119022327088667,1906622.6666666667,3976684.4566481095,1.0010693E7,51.0,1.046079E7,5230395.0,7396823.420676744,1.0460739E7,51.0,1.1439736E7,3813245.3333333335,5774118.154559563,1.0480401E7,432583.0,0,0,0,0,24,32,0.2622438140180857,0.34965841869078096,25.0,28.0,25.75,1.1649647450214355,1.3571428571428583,0,0,0,0,0,0,0,0,1.0,29.428571428571427,25.0,26.5,0,0,0,0,0,0,3,75,4,106,-1,-1,3,0,959335.0,0.0,959335.0,959335.0,1.0010693E7,0.0,1.0010693E7,1.0010693E7,No Label
129.213.130.206-192.168.180.61-2052-62398-17,192.168.180.61,62398,129.213.130.206,2052,17,20/08/2024 03:45:47 下午,10648427,1,3,25.0,81.0,25.0,25.0,25.0,0.0,28.0,25.0,27.0,1.7320508075688772,9.954521921406796,0.3756423366568602,3549475.666666667,5599487.8003949905,1.0015199E7,307672.0,0,0,0,0,0,1.0648427E7,5324213.5,7094461.02550747,1.0340755E7,307672.0,0,0,0,0,8,24,0.09391058416421505,0.28173175249264515,25.0,28.0,26.2,1.6431676725154984,2.7,0,0,0,0,0,0,0,0,3.0,32.75,25.0,27.0,0,0,0,0,0,0,1,25,3,81,-1,-1,1,0,307672.0,0.0,307672.0,307672.0,1.0015199E7,0.0,1.0015199E7,1.0015199E7,No Label
